Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
SortModifiers;Kotlin/Style issues;Non-canonical modifier order;kotlin;LOCAL;0.00;0.00%;0;3
RedundantElvisReturnNull;Kotlin/Redundant constructs;Redundant '?: return null';kotlin;LOCAL;0.00;0.00%;0;3
SimplifyNegatedBinaryExpression;Kotlin/Style issues;Negated boolean expression can be simplified;kotlin;LOCAL;0.00;0.00%;0;3
PrivatePropertyName;Kotlin/Naming conventions;Private property naming convention;kotlin;LOCAL;0.00;0.00%;0;3
IfThenToElvis;Kotlin/Style issues;If-Then foldable to '?:';kotlin;LOCAL;0.00;0.00%;0;3
JavaMapForEach;Kotlin/Style issues;Java Map.forEach method call should be replaced with Kotlin's forEach;kotlin;LOCAL;0.00;0.00%;0;3
ConstPropertyName;Kotlin/Naming conventions;Const property naming convention;kotlin;LOCAL;0.00;0.00%;0;3
EmptyRange;Kotlin/Probable bugs;Range with start greater than endInclusive is empty;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceWithOperatorAssignment;Kotlin/Style issues;Assignment can be replaced with operator assignment;kotlin;LOCAL;0.00;0.00%;0;3
ImplicitNullableNothingType;Kotlin/Probable bugs;Implicit 'Nothing?' type;kotlin;LOCAL;0.00;0.00%;0;3
